player,age,pos,caphit,expiry,decr,team,position
Ryan Miller,40,G,"$1,000,000",UFA (2021),,Anaheim Ducks,goalkeeper
Anthony Stolarz,27,G,"$750,000",UFA (2023),,Anaheim Ducks,goalkeeper
Antti Raanta,32,G,"$4,250,000",UFA (2021),,Arizona Coyotes,goalkeeper
Adin Hill,25,G,"$800,000",RFA (2021),,Arizona Coyotes,goalkeeper
Jaroslav Halák,36,G,"$2,250,000",UFA (2021),,Boston Bruins,goalkeeper
Daniel Vladar,23,G,"$750,000",RFA (2023),,Boston Bruins,goalkeeper
Callum Booth,24,G,"$700,000",RFA (2021),,Boston Bruins,goalkeeper
Carter Hutton,35,G,"$2,750,000",UFA (2021),,Buffalo Sabres,goalkeeper
Linus Ullmark,27,G,"$2,600,000",UFA (2021),,Buffalo Sabres,goalkeeper
Dustin Tokarski,31,G,"$725,000",UFA (2022),,Buffalo Sabres,goalkeeper
Tyler Parsons,23,G,"$735,000",RFA (2021),,Calgary Flames,goalkeeper
Louis Domingue,29,G,"$700,000",UFA (2021),,Calgary Flames,goalkeeper
James Reimer,33,G,"$3,400,000",UFA (2021),,Carolina Hurricanes,goalkeeper
Jeremy Helvig,24,G,"$761,666",RFA (2021),,Carolina Hurricanes,goalkeeper
Alex Nedeljkovic,25,G,"$737,500",RFA (2021),,Carolina Hurricanes,goalkeeper
Antoine Bibeau,27,G,"$700,000",UFA (2021),,Carolina Hurricanes,goalkeeper
Collin Delia,26,G,"$1,000,000",UFA (2022),,Chicago Blackhawks,goalkeeper
Malcolm Subban,27,G,"$850,000",UFA (2022),,Chicago Blackhawks,goalkeeper
Devan Dubnyk,35,G,"$4,333,333",UFA (2021),,Colorado Avalanche,goalkeeper
Pavel Francouz,31,G,"$2,000,000",UFA (2022),,Colorado Avalanche,goalkeeper
Hunter Miska,25,G,"$725,000",RFA (2022),,Colorado Avalanche,goalkeeper
Jonas Johansson,25,G,"$700,000",UFA (2021),,Colorado Avalanche,goalkeeper
Matiss Kivlenieks,24,G,"$725,000",RFA (2022),,Columbus Blue Jackets,goalkeeper
Cam Johnson,26,G,"$700,000",RFA (2021),,Columbus Blue Jackets,goalkeeper
Anton Khudobin,35,G,"$3,333,333",UFA (2023),,Dallas Stars,goalkeeper
Colton Point,23,G,"$925,000",RFA (2021),,Dallas Stars,goalkeeper
Landon Bow,25,G,"$700,000",UFA (2021),,Dallas Stars,goalkeeper
Jonathan Bernier,32,G,"$3,000,000",UFA (2021),,Detroit Red Wings,goalkeeper
Kevin Boyle,29,G,"$775,000",UFA (2021),,Detroit Red Wings,goalkeeper
Calvin Pickard,29,G,"$750,000",UFA (2021),,Detroit Red Wings,goalkeeper
Kaden Fulcher,22,G,"$733,333",RFA (2022),,Detroit Red Wings,goalkeeper
Patrik Rybár,27,G,$0,RFA (2019),,Detroit Red Wings,goalkeeper
Mike Smith,39,G,"$1,500,000",UFA (2021),,Edmonton Oilers,goalkeeper
Alex Stalock,33,G,"$785,000",UFA (2022),,Edmonton Oilers,goalkeeper
Stuart Skinner,22,G,"$784,166",RFA (2021),,Edmonton Oilers,goalkeeper
Dylan Wells,23,G,"$745,000",RFA (2021),,Edmonton Oilers,goalkeeper
Chris Driedger,27,G,"$850,000",UFA (2021),,Florida Panthers,goalkeeper
Philippe Desrosiers,25,G,"$700,000",UFA (2021),,Florida Panthers,goalkeeper
Samuel Montembeault,24,G,"$700,000",RFA (2021),,Florida Panthers,goalkeeper
Jonathan Quick,35,G,"$5,800,000",UFA (2023),,Los Angeles Kings,goalkeeper
Troy Grosenick,31,G,"$700,000",UFA (2021),,Los Angeles Kings,goalkeeper
Cam Talbot,33,G,"$3,666,667",UFA (2023),,Minnesota Wild,goalkeeper
Andrew Hammond,33,G,"$700,000",UFA (2021),,Minnesota Wild,goalkeeper
