player,age,pos,caphit,expiry,decr,team,position
Ryan Getzlaf,36,C,"$8,250,000",UFA (2021),✔,Anaheim Ducks,forward
Ryan Kesler,36,C,"$6,875,000",UFA (2022),27 GR,Anaheim Ducks,forward
Adam Henrique,31,C,"$5,825,000",UFA (2024),✔,Anaheim Ducks,forward
David Backes,37,C,"$6,000,000",UFA (2021),12 GR,Anaheim Ducks,forward
Sonny Milano,25,LW,"$1,700,000",RFA (2022),✔,Anaheim Ducks,forward
Derek Grant,31,C,"$1,500,000",UFA (2023),✔,Anaheim Ducks,forward
Carter Rowney,32,C,"$1,133,333",UFA (2021),✔,Anaheim Ducks,forward
Nicolas Deslauriers,30,RW,"$1,000,000",UFA (2022),✔,Anaheim Ducks,forward
Isac Lundeström,21,C,"$925,000",RFA (2021),✔,Anaheim Ducks,forward
Vinni Lettieri,26,C,"$750,000",UFA (2021),22 GR,Anaheim Ducks,forward
Chase De Leo,25,C,"$700,000",UFA (2021),26 GR,Anaheim Ducks,forward
Andrew Poturalski,27,C,"$700,000",UFA (2021),27 GR,Anaheim Ducks,forward
Andrew Agozzino,30,C,"$700,000",UFA (2021),24 GR,Anaheim Ducks,forward
Alexander Volkov,23,LW,"$700,000",RFA (2021),✔,Anaheim Ducks,forward
Sam Carrick,29,C,"$700,000",UFA (2021),14 GR,Anaheim Ducks,forward
Kevin Shattenkirk,32,RD,"$3,900,000",UFA (2023),✔,Anaheim Ducks,defense
Haydn Fleury,24,LD/RD,"$1,300,000",RFA (2022),✔,Anaheim Ducks,defense
Jacob Larsson,24,LD,"$1,200,000",RFA (2022),✔,Anaheim Ducks,defense
Brendan Guhle,23,LD,"$800,000",RFA (2022),24 GR,Anaheim Ducks,defense
Andy Welinski,28,RD,"$750,000",UFA (2021),14 GR,Anaheim Ducks,defense
Josh Mahura,23,LD,"$745,000",RFA (2021),14 GR,Anaheim Ducks,defense
Trevor Carrick,26,LD,"$700,000",UFA (2021),27 GR,Anaheim Ducks,defense
Tyler Pitlick,29,RW,"$1,750,000",UFA (2022),✔,Arizona Coyotes,forward
Johan Larsson,28,C,"$1,400,000",UFA (2022),✔,Arizona Coyotes,forward
Derick Brassard,33,LW,"$1,000,000",UFA (2021),✔,Arizona Coyotes,forward
Brayden Burke,24,LW,"$925,000",RFA (2021),27 GR,Arizona Coyotes,forward
Tyler Steenbergen,23,C,"$770,833",RFA (2021),27 GR,Arizona Coyotes,forward
John Hayden,26,C,"$750,000",RFA (2021),✔,Arizona Coyotes,forward
Dryden Hunt,25,LW,"$750,000",RFA (2021),1 GR,Arizona Coyotes,forward
Michael Bunting,25,LW,"$737,500",UFA (2021),6 GR,Arizona Coyotes,forward
Hudson Fasching,25,RW,"$737,500",UFA (2021),22 GR,Arizona Coyotes,forward
Blake Speers,24,C,"$735,000",RFA (2021),27 GR,Arizona Coyotes,forward
Lane Pederson,23,C,"$735,000",RFA (2021),12 GR,Arizona Coyotes,forward
Frédérik Gauthier,26,C,"$700,000",RFA (2021),✔,Arizona Coyotes,forward
Michael Chaput,29,C,"$700,000",UFA (2021),14 GR,Arizona Coyotes,forward
Emil Pettersson,27,C,$0,RFA (2019),27 GR,Arizona Coyotes,forward
Alex Goligoski,35,LD/RD,"$5,475,000",UFA (2021),✔,Arizona Coyotes,defense
Jason Demers,33,RD,"$4,500,000",UFA (2021),✔,Arizona Coyotes,defense
Jordan Oesterle,28,LD/RD,"$1,400,000",UFA (2021),✔,Arizona Coyotes,defense
Ilya Lyubushkin,27,RD,"$1,000,000",UFA (2022),✔,Arizona Coyotes,defense
Kyle Capobianco,23,LD,"$775,000",RFA (2022),25 GR,Arizona Coyotes,defense
Jordan Gross,26,RD,"$750,000",UFA (2021),20 GR,Arizona Coyotes,defense
Cam Dineen,22,LD,"$745,000",RFA (2021),27 GR,Arizona Coyotes,defense
Aaron Ness,31,LD,"$725,000",UFA (2021),26 GR,Arizona Coyotes,defense
Dysin Mayo,24,RD,"$700,000",RFA (2021),27 GR,Arizona Coyotes,defense
Vili Saarijärvi,24,RD,"$697,500",RFA (2020),27 GR,Arizona Coyotes,defense
David Krejci,35,C,"$7,250,000",UFA (2021),✔,Boston Bruins,forward
Taylor Hall,29,LW,"$8,000,000",UFA (2021),✔,Boston Bruins,forward
Craig Smith,31,RW,"$3,100,000",UFA (2023),✔,Boston Bruins,forward
Chris Wagner,30,RW,"$1,350,000",UFA (2023),✔,Boston Bruins,forward
Sean Kuraly,28,C,"$1,275,000",UFA (2021),✔,Boston Bruins,forward
Trent Frederic,23,C,"$925,000",RFA (2021),✔,Boston Bruins,forward
Curtis Lazar,26,C,"$800,000",UFA (2022),✔,Boston Bruins,forward
Cameron Hughes,24,C,"$792,500",RFA (2021),26 GR,Boston Bruins,forward
Joona Koppanen,23,LW,"$753,333",RFA (2021),27 GR,Boston Bruins,forward
