id,fullName,primaryNumber,birthDate,currentAge,nationality,height,weight,shootsCatches,currentTeam,primaryPosition
8476864,Ville Pokka,47,1994-06-03,25,FIN,"6' 0""",214,R,Chicago Blackhawks,D
8475625,Matt Irwin,52,1987-11-29,32,CAN,"6' 1""",207,L,Nashville Predators,D
8470222,James Wisniewski,21,1984-02-21,,USA,"5' 11""",203,R,Free Agent,D
8475732,Danny Biega,41,1991-09-29,,CAN,"6' 0""",205,R,Free Agent,D
8478559,Matthew O'Connor,,1992-02-14,28,CAN,"6' 6""",205,L,Nashville Predators,G
8474659,Matt Donovan,65,1990-05-09,,USA,"6' 1""",205,L,Free Agent,D
8474744,Sean Collins,53,1988-12-29,,CAN,"6' 1""",198,L,Free Agent,C
8471309,Johan Franzen,93,1979-12-23,40,SWE,"6' 4""",232,L,Detroit Red Wings,RW
8470667,Clarke MacArthur,16,1985-04-06,35,CAN,"6' 0""",192,L,Ottawa Senators,LW
8478393,Kyle Baun,39,1992-05-04,27,CAN,"6' 2""",209,R,Chicago Blackhawks,RW
8471856,Joe Vitale,97,1985-08-20,,USA,"5' 11""",205,R,Free Agent,C
8477916,Borna Rendulic,71,1992-03-25,,HRV,"6' 2""",200,R,Free Agent,RW
8478565,Matthias Plachta,,1991-05-16,,DEU,"6' 2""",218,L,Free Agent,LW
8475148,Tim Erixon,44,1991-02-24,,SWE,"6' 2""",200,L,Free Agent,D
8474019,Tommy Cross,56,1989-09-12,30,USA,"6' 3""",205,L,Boston Bruins,D
8475294,Rasmus Rissanen,62,1991-07-13,,FIN,"6' 3""",217,L,Free Agent,D
8470121,Matt Greene,2,1983-05-13,,USA,"6' 3""",236,R,Free Agent,D
8474690,Kevin Poulin,35,1990-04-12,,CAN,"6' 2""",206,L,Free Agent,G
8477356,Kristers Gudlevskis,,1992-07-31,27,LVA,"6' 3""",223,L,New York Islanders,G
8473562,John McCarthy,17,1986-08-09,,USA,"6' 1""",195,L,Free Agent,C
8473614,Richard Bachman,32,1987-07-25,32,USA,"5' 10""",183,L,Vancouver Canucks,G
8473921,Joe Piskula,49,1984-07-05,,USA,"6' 3""",205,L,Free Agent,D
8469490,Tim Jackman,,1981-11-14,,USA,"6' 2""",225,R,Free Agent,RW
8467967,Chris Kelly,22,1980-11-11,,CAN,"6' 0""",190,L,Free Agent,C
8472368,Chris Conner,38,1983-12-23,,USA,"5' 7""",181,L,Free Agent,RW
8477451,Ryan Hartman,38,1994-09-20,25,USA,"6' 0""",181,R,Chicago Blackhawks,LW
8475775,Tye McGinn,44,1990-07-29,29,CAN,"6' 3""",218,L,Tampa Bay Lightning,LW
8476798,Karl Stollery,46,1987-11-21,,CAN,"5' 11""",180,L,Free Agent,D
8474837,Mark Cundari,45,1990-04-23,,CAN,"5' 9""",195,L,Free Agent,D
8474516,Bryan Lerg,11,1986-01-20,,USA,"5' 10""",175,L,Free Agent,C
8467331,Brad Stuart,17,1979-11-06,,CAN,"6' 2""",215,L,Free Agent,D
8474518,Davis Drewiske,43,1984-11-22,,USA,"6' 2""",222,L,Free Agent,D
8476913,Devin Shore,17,1994-07-19,25,CAN,"6' 1""",205,L,Dallas Stars,C
8467899,Martin Havlat,29,1981-04-19,,CZE,"6' 2""",210,L,Free Agent,RW
8476905,Chandler Stephenson,18,1994-04-22,25,CAN,"6' 0""",203,L,Washington Capitals,C
8477415,Anton Slepyshev,42,1994-05-13,25,RUS,"6' 2""",218,R,Edmonton Oilers,LW
8476043,Ben Street,11,1987-02-13,33,CAN,"5' 11""",199,L,Detroit Red Wings,C
8477923,Michael Keranen,36,1990-01-04,,FIN,"6' 1""",170,L,Free Agent,LW
8477249,Andrew Miller,72,1988-09-18,31,USA,"5' 10""",181,R,Carolina Hurricanes,C
8470839,Shane O'Brien,34,1983-08-09,,CAN,"6' 3""",230,L,Free Agent,D
8476819,Jeremy Welsh,46,1988-04-30,,CAN,"6' 3""",210,L,Free Agent,C
8475757,Brett Bulmer,54,1992-04-26,,CAN,"6' 4""",212,R,Free Agent,RW
8477958,Nikolay Goldobin,82,1995-10-07,24,RUS,"5' 11""",185,L,Vancouver Canucks,RW
8476449,Scott Harrington,4,1993-03-10,27,CAN,"6' 2""",219,L,Columbus Blue Jackets,D
8476955,Taylor Leier,58,1994-02-15,26,CAN,"5' 10""",174,L,Philadelphia Flyers,LW
8475192,Taylor Beck,28,1991-05-13,,CAN,"6' 2""",203,R,Free Agent,LW
8471679,Carey Price,31,1987-08-16,32,CAN,"6' 3""",215,L,Montréal Canadiens,G
8470120,Alexander Semin,13,1984-03-03,,RUS,"6' 2""",211,R,Free Agent,RW
8477006,Christoph Bertschy,47,1994-04-05,26,CHE,"5' 10""",186,R,Minnesota Wild,C
8474535,Chris Mueller,51,1986-03-06,34,USA,"5' 11""",209,R,Toronto Maple Leafs,C
8477902,Dennis Everberg,45,1991-12-31,,SWE,"6' 4""",205,L,Free Agent,RW
8473431,Bud Holloway,52,1988-03-01,,CAN,"6' 0""",194,R,Free Agent,C
8477424,Juuse Saros,74,1995-04-19,25,FIN,"5' 11""",180,L,Nashville Predators,G
8476545,Kurtis Gabriel,39,1993-04-20,27,CAN,"6' 4""",211,R,Minnesota Wild,RW
8477467,Gustav Olofsson,23,1994-12-01,25,SWE,"6' 3""",195,L,Minnesota Wild,D
8470644,Colin McDonald,36,1984-09-30,35,USA,"6' 2""",219,R,Philadelphia Flyers,RW
8468505,Steve Ott,92,1982-08-19,,CAN,"6' 0""",193,L,Free Agent,C
8478528,Tanner Kero,64,1992-07-24,27,USA,"6' 0""",180,L,Dallas Stars,C
8472424,Ryan Hamilton,48,1985-04-15,,CAN,"6' 2""",219,L,Free Agent,LW
8466393,Pascal Dupuis,9,1979-04-07,,CAN,"6' 1""",205,L,Free Agent,RW
8474138,Dustin Jeffrey,15,1988-02-27,,CAN,"6' 1""",205,L,Free Agent,LW
8476904,Chris Driedger,32,1994-05-18,25,CAN,"6' 4""",205,L,Ottawa Senators,G
8477846,Ryan Carpenter,40,1991-01-18,29,USA,"6' 0""",195,R,San Jose Sharks,C
8477028,Nick Ebert,45,1994-05-11,,USA,"6' 1""",205,R,Free Agent,D
8471240,Jeff Schultz,55,1986-02-25,,CAN,"6' 6""",225,L,Free Agent,D
8476472,Oscar Klefbom,77,1993-07-20,26,SWE,"6' 3""",220,L,Edmonton Oilers,D
8478466,Daniel Sprong,41,1997-03-17,23,NLD,"6' 0""",180,R,Pittsburgh Penguins,RW
8475161,Chris Brown,,1991-02-03,,USA,"6' 2""",208,R,Free Agent,RW
8476624,Barclay Goodrow,23,1993-02-26,27,CAN,"6' 2""",215,L,San Jose Sharks,RW
8466333,Andrew Ference,21,1979-03-17,,CAN,"5' 11""",182,L,Free Agent,D
8476911,Tanner Richard,38,1993-04-06,27,CAN,"6' 0""",192,L,Tampa Bay Lightning,C
8476433,Magnus Hellberg,45,1991-04-04,,SWE,"6' 6""",209,L,Free Agent,G
8476384,Max Friberg,49,1992-11-20,27,SWE,"5' 11""",200,R,Montréal Canadiens,RW
8474682,Dustin Tokarski,30,1989-09-16,30,CAN,"6' 0""",205,L,Anaheim Ducks,G
8473589,Chris Summers,55,1988-02-05,32,USA,"6' 2""",207,L,Pittsburgh Penguins,D
8471916,Mike Angelidis,10,1985-06-27,,CAN,"6' 1""",214,L,Free Agent,LW
8476826,Yanni Gourde,37,1991-12-15,28,CAN,"5' 9""",172,L,Tampa Bay Lightning,C
8477085,Ashton Sautner,59,1994-05-27,25,CAN,"6' 1""",195,L,Vancouver Canucks,D
8475182,David Rundblad,5,1990-10-08,,SWE,"6' 2""",187,R,Free Agent,D
8475150,Jordan Caron,33,1990-11-02,,CAN,"6' 3""",204,L,Free Agent,RW
8476435,Alex Khokhlachev,76,1993-09-09,26,RUS,"5' 10""",181,L,Boston Bruins,C
8474589,Tyler Ennis,63,1989-10-06,30,CAN,"5' 9""",175,L,Minnesota Wild,LW
8475736,Connor Brickley,23,1992-02-25,28,USA,"6' 0""",203,L,Florida Panthers,C
8477931,Tomas Nosek,92,1992-09-01,27,CZE,"6' 3""",210,L,Vegas Golden Knights,LW
8475762,Derek Forbort,24,1992-03-04,28,USA,"6' 4""",216,L,Los Angeles Kings,D
8473482,Jiri Tlusty,9,1988-03-16,,CZE,"6' 0""",205,L,Free Agent,LW
8477312,Antoine Bibeau,,1994-05-01,25,CAN,"6' 3""",205,L,San Jose Sharks,G
8470778,Drew Miller,20,1984-02-17,,USA,"6' 2""",183,L,Free Agent,LW
8476341,Anton Forsberg,31,1992-11-27,27,SWE,"6' 3""",192,L,Chicago Blackhawks,G
8476200,Paul Thompson,20,1988-11-30,31,USA,"6' 1""",200,R,Vegas Golden Knights,RW
8474570,Cody Hodgson,11,1990-02-18,,CAN,"6' 0""",191,R,Free Agent,C
8475759,Brandon Gormley,,1992-02-18,,CAN,"6' 2""",196,L,Free Agent,D
8476412,Jordan Binnington,50,1993-07-11,26,CAN,"6' 1""",167,L,St. Louis Blues,G
8474024,Jim O'Brien,36,1989-01-29,,USA,"6' 3""",195,R,Free Agent,C
8476166,Taylor Fedun,27,1988-06-04,31,CAN,"6' 1""",198,R,Buffalo Sabres,D
8465185,Willie Mitchell,33,1977-04-23,,CAN,"6' 3""",210,L,Free Agent,D
8471761,Chris Butler,25,1986-10-27,33,USA,"6' 1""",196,L,St. Louis Blues,D
8470378,Andre Benoit,48,1984-01-06,36,CAN,"5' 11""",191,L,Columbus Blue Jackets,D
8478541,Markus Hannikainen,37,1993-03-26,27,FIN,"6' 2""",195,L,Columbus Blue Jackets,LW
8474037,James van Riemsdyk,25,1989-05-04,30,USA,"6' 3""",210,L,Toronto Maple Leafs,LW
8477527,Ross Johnston,52,1994-02-18,26,CAN,"6' 5""",232,L,New York Islanders,LW
8476779,Brad Hunt,77,1988-08-24,31,CAN,"5' 9""",187,L,Vegas Golden Knights,D
8473970,Rob Klinkhammer,12,1986-08-12,,CAN,"6' 3""",214,L,Free Agent,LW
8475324,Nick Jensen,3,1990-09-21,29,USA,"6' 0""",196,R,Detroit Red Wings,D
8474025,Eric Tangradi,49,1989-02-10,31,USA,"6' 4""",221,L,Detroit Red Wings,LW
8476902,Esa Lindell,23,1994-05-23,25,FIN,"6' 3""",215,L,Dallas Stars,D
8470729,Tyson Strachan,28,1984-10-30,,CAN,"6' 3""",210,R,Free Agent,D
8471752,Marc-Andre Gragnani,38,1987-03-11,,CAN,"6' 3""",205,L,Free Agent,D
