,season,player,position,xG,Goal,Shooting,Passing,Hits,Blocks,Takeaways,Giveaways,Powerplay,plusMinus
6165,2017,A.J. Greer,LW,0.9471973692998291,0,62,63,70,56,59,55,70,2
6166,2017,Aaron Ekblad,D,12.167793463915586,16,86,85,78,90,86,94,72,9
6167,2017,Aaron Ness,D,0.032371471635997295,0,62,55,54,61,53,57,71,2
6168,2017,Adam Clendening,D,0.1067967675626278,0,62,59,55,59,55,60,71,-1
6169,2017,Adam Cracknell,RW,0.3820400116965175,0,62,52,61,52,60,56,71,-1
6170,2017,Adam Erne,LW,2.49378414452076,3,69,55,72,59,61,59,71,-1
6171,2017,Adam Gaudette,C,0.7081671301275492,0,62,52,55,54,55,59,70,2
6172,2017,Adam Henrique,C,19.77888716291636,24,89,86,77,85,86,79,73,11
6173,2017,Adam Larsson,D,5.157818797510117,4,69,72,96,92,80,87,70,10
6174,2017,Adam Lowry,C,7.6559119881130755,8,78,77,87,72,78,58,71,9
6175,2017,Adam McQuaid,D,1.4876419669017196,1,62,62,83,85,64,68,71,-1
6176,2017,Adam Pelech,D,5.3515358683653185,3,65,80,85,92,85,86,71,7
6177,2017,Adrian Kempe,C,13.189629380591214,16,86,85,84,66,81,80,69,11
6178,2017,Alan Quine,C,1.449608325958252,0,62,63,69,60,63,62,71,-2
6179,2017,Alec Martinez,D,6.028574720490724,9,79,80,85,97,68,91,71,3
6180,2017,Aleksander Barkov,C,25.875721656717356,27,90,93,65,85,93,88,71,9
6182,2017,Alex Biega,D,4.803555170074105,1,62,71,87,84,66,74,71,3
6184,2017,Alex Chiasson,RW,7.2510743285529315,9,80,73,77,73,83,71,68,1
6185,2017,Alex DeBrincat,LW,17.989642756059766,28,91,85,70,70,85,77,75,6
6186,2017,Alex Formenton,LW,0.0,0,62,52,55,52,53,54,71,0
6187,2017,Alex Galchenyuk,C,21.232506713829935,19,87,88,67,77,83,87,82,-31
6188,2017,Alex Goligoski,D,6.753637561108918,12,84,85,86,93,73,89,73,-31
6189,2017,Alex Iafallo,LW,12.730145429261027,9,79,80,75,75,79,76,68,10
6190,2017,Alex Killorn,LW,15.552151491399856,15,85,88,82,70,85,81,64,22
6191,2017,Alex Nylander,LW,0.423768162727356,1,63,52,54,51,53,56,71,-3
6192,2017,Alex Ovechkin,LW,34.00804507220165,49,99,90,88,67,80,90,83,3
6193,2017,Alex Pietrangelo,D,12.04855986777693,15,85,90,73,93,88,85,68,8
6194,2017,Alex Tuch,RW,20.288646881468594,15,85,85,85,79,89,79,70,3
6195,2017,Alex Wennberg,C,8.867710233666001,8,78,86,65,80,85,69,64,22
6197,2017,Alexander Edler,D,8.173524381127207,6,75,87,89,97,84,87,70,-18
6198,2017,Alexander Kerfoot,C,9.865044096484779,19,87,85,71,76,84,76,76,-7
6199,2017,Alexander Petrovic,D,2.8770427950657904,2,63,75,88,86,74,82,71,-2
6200,2017,Alexander Radulov,RW,22.45145973283797,27,90,92,81,85,87,86,76,5
6201,2017,Alexander Steen,LW,15.62736859638244,15,85,87,75,85,85,73,70,-11
6204,2017,Anders Bjork,LW,3.6878351606428623,4,72,72,63,61,75,67,78,2
6205,2017,Anders Lee,LW,29.025505900383,40,95,85,85,77,81,83,83,-25
6206,2017,Andre Burakovsky,LW,9.099815822206438,12,84,77,71,71,79,82,72,3
6207,2017,Andreas Athanasiou,C,15.958454713225365,16,86,81,63,72,86,83,63,-15
6208,2017,Andreas Borgman,D,2.1034195609390736,3,68,71,87,77,70,84,71,4
6209,2017,Andreas Englund,D,0.0,0,62,51,56,55,54,55,71,1
6210,2017,Andreas Johnsson,LW,2.4291564282029867,2,66,56,57,56,62,61,71,-2
6211,2017,Andreas Martinsen,LW,1.0054466743022203,1,63,52,72,55,57,57,71,-1
6213,2017,Andrej Sekera,D,1.377450562082231,0,62,71,66,79,68,73,69,-15
6214,2017,Andrej Sustr,D,1.9488953864201903,2,64,66,57,76,63,71,71,-5
6215,2017,Andrew Cogliano,C,16.953879539854825,12,83,85,82,74,79,85,69,19
6216,2017,Andrew Copp,C,11.515502216294408,9,79,83,85,82,83,80,69,17
6218,2017,Andrew Ladd,LW,14.092019316740336,12,83,81,81,78,83,85,59,11
6219,2017,Andrew MacDonald,D,4.114224414806813,6,75,79,68,91,73,86,69,8
6220,2017,Andrew Mangiapane,LW,0.7569062188267708,0,62,52,59,55,57,57,71,-3
6221,2017,Andrew Shaw,RW,10.844077682588251,10,81,75,82,71,76,79,74,-8
6222,2017,Andy Andreoff,C,3.901523013599217,3,68,68,82,61,58,63,71,-6
6223,2017,Andy Greene,D,4.226902852766217,3,65,74,82,96,79,84,70,-9
6224,2017,Andy Welinski,D,0.26719422079622746,0,62,59,56,61,53,62,69,-1
6225,2017,Anthony Beauvillier,LW,15.337729856371881,21,88,79,82,73,81,74,81,2
6226,2017,Anthony Bitetto,D,0.9630007008090616,1,62,59,72,75,64,71,71,-1
6227,2017,Anthony Cirelli,C,2.572941592428833,5,75,68,62,57,66,59,71,11
6228,2017,Anthony Duclair,LW,10.977480120956898,11,82,76,74,71,78,64,68,-5
6229,2017,Anthony Mantha,RW,21.852602249942716,24,89,85,84,76,85,89,77,-1
6230,2017,Anthony Peluso,RW,0.0,0,62,52,57,51,53,54,71,0
6231,2017,Antoine Roussel,LW,9.692840026225896,5,74,76,86,79,74,76,70,1
6233,2017,Anton Blidh,LW,0.0,0,62,52,56,51,53,52,71,0
6234,2017,Anton Lindholm,D,1.0083137322217226,0,62,64,85,83,65,65,71,4
6236,2017,Anton Stralman,D,7.241801405325532,4,68,78,85,88,84,79,64,29
